BJD,measured_relative_flux,measured_relative_flux_error,parallax_shift_t,parallax_shift_u,true_relative_flux,true_relative_flux_error,Simulation_time,observatory_code
2458346.5144004,0.99256086,0.00552224,0.0664884,0.0033911,1.00001079142,0.00552224,112.51440037,0
2458346.5228322,0.99877488,0.00552224,0.0664724,0.00339051,1.00001079215,0.00552224,112.522832176,0
2458346.531264,0.99334779,0.00552224,0.0664564,0.00338991,1.00001079288,0.00552224,112.531263981,0
2458346.5396958,1.0027909,0.00552224,0.0664405,0.00338931,1.00001079361,0.00552224,112.539695787,0
2458346.5481276,1.0038492,0.00552224,0.0664245,0.00338872,1.00001079435,0.00552224,112.548127593,0
2458346.5565594,1.0049075,0.00552224,0.0664085,0.00338812,1.00001079508,0.00552224,112.556559398,0
2458346.5649912,1.0026553,0.00552224,0.0663925,0.00338752,1.00001079581,0.00552224,112.564991204,0
2458346.573423,1.002411,0.00552224,0.0663765,0.00338692,1.00001079654,0.00552224,112.573423009,0
2458346.5818548,1.0030894,0.00552224,0.0663605,0.00338633,1.00001079727,0.00552224,112.581854815,0
2458346.5902866,1.0044191,0.00552224,0.0663446,0.00338573,1.000010798,0.00552224,112.59028662,0
2458346.5987184,0.98965737,0.00552224,0.0663286,0.00338513,1.00001079873,0.00552224,112.598718426,0
2458346.6071502,0.99239805,0.00552224,0.0663126,0.00338454,1.00001079946,0.00552224,112.607150231,0
2458346.615582,0.99926332,0.00552224,0.0662966,0.00338394,1.00001080019,0.00552224,112.615582037,0
2458346.6240138,0.99853066,0.00552224,0.0662807,0.00338334,1.00001080092,0.00552224,112.624013843,0
2458346.6324456,0.99638696,0.00552224,0.0662647,0.00338274,1.00001080165,0.00552224,112.632445648,0
2458346.6493093,0.99497592,0.00552224,0.0662328,0.00338155,1.00001080311,0.00552224,112.649309259,0
2458346.6577411,1.0009457,0.00552224,0.0662168,0.00338095,1.00001080384,0.00552224,112.657741065,0
2458346.6661729,1.0033065,0.00552224,0.0662008,0.00338035,1.00001080457,0.00552224,112.66617287,0
2458346.6746047,1.0037678,0.00552224,0.0661849,0.00337976,1.0000108053,0.00552224,112.674604676,0
2458346.6830365,0.99980603,0.00552224,0.0661689,0.00337916,1.00001080602,0.00552224,112.683036481,0
2458346.6914683,1.0006201,0.00552224,0.0661529,0.00337856,1.00001080675,0.00552224,112.691468287,0
2458346.6999001,0.9942704,0.00552224,0.066137,0.00337797,1.00001080748,0.00552224,112.699900093,0
2458346.7083319,0.99717389,0.00552224,0.066121,0.00337737,1.00001080821,0.00552224,112.708331898,0
2458346.7167637,1.0063185,0.00552224,0.0661051,0.00337677,1.00001080894,0.00552224,112.716763704,0
2458346.7251955,1.0002945,0.00552224,0.0660891,0.00337617,1.00001080967,0.00552224,112.725195509,0
2458346.7336273,1.0044733,0.00552224,0.0660732,0.00337558,1.00001081039,0.00552224,112.733627315,0
2458346.7420591,1.0084351,0.00552224,0.0660572,0.00337498,1.00001081112,0.00552224,112.74205912,0
2458346.7504909,0.99383623,0.00552224,0.0660413,0.00337438,1.00001081185,0.00552224,112.750490926,0
2458346.7589227,0.99969749,0.00552224,0.0660253,0.00337378,1.00001081257,0.00552224,112.758922731,0
2458346.7673545,1.0017598,0.00552224,0.0660094,0.00337318,1.0000108133,0.00552224,112.767354537,0
2458346.7842181,1.0020583,0.00552224,0.0659775,0.00337199,1.00001081476,0.00552224,112.784218148,0
2458346.79265,1.0039035,0.00552224,0.0659616,0.00337139,1.00001081548,0.00552224,112.792649954,0
2458346.8010818,1.0057216,0.00552224,0.0659456,0.00337079,1.00001081621,0.00552224,112.801081759,0
2458346.8095136,1.0001045,0.00552224,0.0659297,0.0033702,1.00001081693,0.00552224,112.809513565,0
2458346.8179454,0.98737799,0.00552224,0.0659138,0.0033696,1.00001081766,0.00552224,112.81794537,0
2458346.8263772,1.0075939,0.00552224,0.0658978,0.003369,1.00001081839,0.00552224,112.826377176,0
2458346.834809,1.0157617,0.00552224,0.0658819,0.0033684,1.00001081911,0.00552224,112.834808981,0
2458346.8432408,1.000403,0.00552224,0.065866,0.00336781,1.00001081984,0.00552224,112.843240787,0
2458346.8516726,1.0004844,0.00552224,0.0658501,0.00336721,1.00001082056,0.00552224,112.851672593,0
2458346.8601044,1.003008,0.00552224,0.0658341,0.00336661,1.00001082129,0.00552224,112.860104398,0
2458346.8685362,1.0042291,0.00552224,0.0658182,0.00336601,1.00001082201,0.00552224,112.868536204,0
2458346.876968,0.9905257,0.00552224,0.0658023,0.00336541,1.00001082274,0.00552224,112.876968009,0
2458346.8853998,1.0084622,0.00552224,0.0657864,0.00336482,1.00001082346,0.00552224,112.885399815,0
2458346.8938316,0.99611561,0.00552224,0.0657704,0.00336422,1.00001082418,0.00552224,112.89383162,0
2458346.9022634,0.99117695,0.00552224,0.0657545,0.00336362,1.00001082491,0.00552224,112.902263426,0
2458346.919127,1.0033879,0.00552224,0.0657227,0.00336243,1.00001082636,0.00552224,112.919127037,0
2458346.9275588,1.005803,0.00552224,0.0657068,0.00336183,1.00001082708,0.00552224,112.927558843,0
2458346.9359906,0.99627842,0.00552224,0.0656909,0.00336123,1.0000108278,0.00552224,112.935990648,0
2458346.9444225,1.002601,0.00552224,0.065675,0.00336063,1.00001082853,0.00552224,112.944422454,0
2458346.9528543,1.0030351,0.00552224,0.0656591,0.00336003,1.00001082925,0.00552224,112.952854259,0
2458346.9612861,1.0028723,0.00552224,0.0656432,0.00335944,1.00001082997,0.00552224,112.961286065,0
2458346.9697179,1.0064814,0.00552224,0.0656273,0.00335884,1.0000108307,0.00552224,112.96971787,0
2458346.9781497,1.000403,0.00552224,0.0656114,0.00335824,1.00001083142,0.00552224,112.978149676,0
2458346.9865815,1.0052331,0.00552224,0.0655955,0.00335764,1.00001083214,0.00552224,112.986581481,0
2458346.9950133,0.99850353,0.00552224,0.0655796,0.00335704,1.00001083286,0.00552224,112.995013287,0
2458347.0034451,1.0100904,0.00552224,0.0655637,0.00335644,1.00001083359,0.00552224,113.003445093,0
2458347.0118769,0.99475883,0.00552224,0.0655478,0.00335585,1.00001083431,0.00552224,113.011876898,0
2458347.0203087,1.005613,0.00552224,0.0655319,0.00335525,1.00001083503,0.00552224,113.020308704,0
2458347.0287405,0.99424326,0.00552224,0.065516,0.00335465,1.00001083575,0.00552224,113.028740509,0
2458347.0371723,0.98857195,0.00552224,0.0655001,0.00335405,1.00001083647,0.00552224,113.037172315,0
2458347.0540359,1.0137537,0.00552224,0.0654683,0.00335286,1.00001083791,0.00552224,113.054035926,0
2458347.0624677,0.99736384,0.00552224,0.0654524,0.00335226,1.00001083863,0.00552224,113.062467731,0
2458347.0708995,0.99717389,0.00552224,0.0654365,0.00335166,1.00001083936,0.00552224,113.070899537,0
2458347.0793313,0.99313071,0.00552224,0.0654207,0.00335106,1.00001084008,0.00552224,113.079331343,0
2458347.0877631,0.99904624,0.00552224,0.0654048,0.00335046,1.0000108408,0.00552224,113.087763148,0
2458347.096195,0.99836785,0.00552224,0.0653889,0.00334986,1.00001084152,0.00552224,113.096194954,0
2458347.1046268,1.0008643,0.00552224,0.065373,0.00334927,1.00001084224,0.00552224,113.104626759,0
2458347.1130586,1.0060472,0.00552224,0.0653572,0.00334867,1.00001084296,0.00552224,113.113058565,0
2458347.1214904,1.0032251,0.00552224,0.0653413,0.00334807,1.00001084368,0.00552224,113.12149037,0
2458347.1299222,1.0035236,0.00552224,0.0653254,0.00334747,1.0000108444,0.00552224,113.129922176,0
2458347.138354,1.0094391,0.00552224,0.0653095,0.00334687,1.00001084511,0.00552224,113.138353981,0
2458347.1467858,0.99945327,0.00552224,0.0652937,0.00334627,1.00001084583,0.00552224,113.146785787,0
2458347.1552176,1.0090864,0.00552224,0.0652778,0.00334568,1.00001084655,0.00552224,113.155217593,0
