x, y
-0.14754098360655737, 9411.764705882353
-0.02459016393442623, 9058.823529411764
0.09836065573770492, 8647.058823529413
0.2459016393442623, 8235.29411764706
0.39344262295081966, 7882.35294117647
0.5655737704918032, 7470.588235294117
0.7131147540983607, 7117.647058823529
0.8852459016393442, 6764.7058823529405
1.1065573770491803, 6352.941176470588
1.4262295081967213, 5823.529411764706
1.8442622950819672, 5235.294117647059
2.1885245901639343, 4882.35294117647
2.3852459016393444, 4705.882352941177
2.6065573770491803, 4529.411764705883
2.8770491803278686, 4294.117647058823
3.1967213114754096, 4117.64705882353
3.4918032786885247, 3941.176470588235
3.8360655737704916, 3764.705882352941
4.081967213114754, 3647.0588235294117
3.663934426229508, 3823.529411764706
4.327868852459016, 3529.411764705882
4.573770491803279, 3411.764705882353
4.745901639344262, 3294.1176470588234
4.967213114754098, 3176.470588235294
