BJD,measured_relative_flux,measured_relative_flux_error,parallax_shift_t,parallax_shift_u,true_relative_flux,true_relative_flux_error,Simulation_time,observatory_code
2458346.5144004,0.99921356,0.00187185,-0.0985241,0.367219,1.00000000013,0.00187185,112.51440037,0
2458346.5228322,1.0036302,0.00187185,-0.0985183,0.367205,1.00000000013,0.00187185,112.522832176,0
2458346.531264,1.0023484,0.00187185,-0.0985124,0.367191,1.00000000013,0.00187185,112.531263981,0
2458346.5396958,0.99926572,0.00187185,-0.0985066,0.367177,1.00000000013,0.00187185,112.539695787,0
2458346.5481276,1.0006891,0.00187185,-0.0985008,0.367163,1.00000000013,0.00187185,112.548127593,0
2458346.5565594,0.99924834,0.00187185,-0.098495,0.367149,1.00000000013,0.00187185,112.556559398,0
2458346.5649912,1.0025869,0.00187185,-0.0984892,0.367135,1.00000000013,0.00187185,112.564991204,0
2458346.573423,1.0035383,0.00187185,-0.0984834,0.367122,1.00000000013,0.00187185,112.573423009,0
2458346.5818548,0.99460068,0.00187185,-0.0984776,0.367108,1.00000000013,0.00187185,112.581854815,0
2458346.5902866,1.0036426,0.00187185,-0.0984718,0.367094,1.00000000013,0.00187185,112.59028662,0
2458346.5987184,1.0029968,0.00187185,-0.098466,0.36708,1.00000000013,0.00187185,112.598718426,0
2458346.6071502,0.99896515,0.00187185,-0.0984601,0.367066,1.00000000013,0.00187185,112.607150231,0
2458346.615582,0.99955636,0.00187185,-0.0984543,0.367052,1.00000000013,0.00187185,112.615582037,0
2458346.6240138,1.0004879,0.00187185,-0.0984485,0.367038,1.00000000013,0.00187185,112.624013843,0
2458346.6324456,1.0000581,0.00187185,-0.0984427,0.367025,1.00000000013,0.00187185,112.632445648,0
2458346.6493093,1.0008828,0.00187185,-0.0984311,0.366997,1.00000000013,0.00187185,112.649309259,0
2458346.6577411,0.99913904,0.00187185,-0.0984253,0.366983,1.00000000013,0.00187185,112.657741065,0
2458346.6661729,1.0046387,0.00187185,-0.0984195,0.366969,1.00000000013,0.00187185,112.66617287,0
2458346.6746047,0.99868197,0.00187185,-0.0984137,0.366955,1.00000000013,0.00187185,112.674604676,0
2458346.6830365,1.0001426,0.00187185,-0.0984079,0.366942,1.00000000013,0.00187185,112.683036481,0
2458346.6914683,0.99908936,0.00187185,-0.0984021,0.366928,1.00000000013,0.00187185,112.691468287,0
2458346.6999001,0.99898503,0.00187185,-0.0983963,0.366914,1.00000000013,0.00187185,112.699900093,0
2458346.7083319,0.99990909,0.00187185,-0.0983905,0.3669,1.00000000013,0.00187185,112.708331898,0
2458346.7167637,1.0005649,0.00187185,-0.0983847,0.366886,1.00000000013,0.00187185,112.716763704,0
2458346.7251955,1.0015858,0.00187185,-0.0983789,0.366872,1.00000000013,0.00187185,112.725195509,0
2458346.7336273,1.0001649,0.00187185,-0.0983731,0.366858,1.00000000013,0.00187185,112.733627315,0
2458346.7420591,0.99861987,0.00187185,-0.0983673,0.366845,1.00000000013,0.00187185,112.74205912,0
2458346.7504909,0.99833917,0.00187185,-0.0983615,0.366831,1.00000000013,0.00187185,112.750490926,0
2458346.7589227,0.99996374,0.00187185,-0.0983557,0.366817,1.00000000013,0.00187185,112.758922731,0
