mass_bin,event_name,prm_file,param_err_key,matrix_key,ratio_mcmc_over_fisher,mcmc_fractional,fisher_fractional,ot_distance_scaled,ot_constrained,mc_constrained_for_matrix
m-10,126_4_579,126_4_579_sampling.prm,alpha_err,A1,16.839240218737356,0.004594355373577219,0.0002728362630319264,0.9735861586069929,True,True
m-10,126_4_579,126_4_579_sampling.prm,log_q_err,A1,1.8337200807998317,0.00644319346785705,0.003513727932262518,0.826780063065363,True,True
m-10,126_4_579,126_4_579_sampling.prm,log_rho_err,A1,1.116997435162758,0.014091177094617687,0.01261522779823076,0.6463915081728219,True,True
m-10,126_4_579,126_4_579_sampling.prm,log_s_err,A1,47.51634164555699,0.028776386153732188,0.0006056103049428032,0.9136549129526234,True,True
m-10,126_4_579,126_4_579_sampling.prm,log_tE_err,A1,14.363017623785396,0.009304810191693163,0.0006478311477028507,0.9804041257320185,True,True
m-10,126_4_579,126_4_579_sampling.prm,piEE_err,C,8.433156237417801,0.4986628723603618,0.059131226591984776,0.9753545075174876,True,False
m-10,126_4_579,126_4_579_sampling.prm,piEN_err,C,8.485842179025294,1.034029123734957,0.12185344741513075,0.9559011713189621,True,False
m-10,126_4_579,126_4_579_sampling.prm,t0_err,A1,6.703825118510777,1.1125658830236962e-07,1.6595986072960795e-08,0.3703039245483784,True,True
m-10,126_4_579,126_4_579_sampling.prm,u0_err,A1,28.17503634254815,0.03048737856180222,0.0010820706028961571,0.9478082787925218,True,True
m-10,128_2_83,128_2_83_sampling.prm,alpha_err,A1,2.222727124189358,0.012534495745114338,0.005639241816372644,0.970345281430334,True,True
m-10,128_2_83,128_2_83_sampling.prm,log_q_err,A2,0.7955599651504967,0.03215313928057353,0.04041573318045371,0.5901505983356211,True,True
m-10,128_2_83,128_2_83_sampling.prm,log_rho_err,A1,1.0189889388214644,0.03769483025429456,0.03699238413509317,0.5815140603056661,True,True
m-10,128_2_83,128_2_83_sampling.prm,log_s_err,A1,31.048519813578324,0.0309653888536758,0.00099732254676224,0.9765752189156276,True,True
